Datetime,Year,Month,Day,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
11-Jan-17,"2,017",1,11,4,7,1,6,0,6,Winter
10-Jan-17,"2,017",1,10,2,8,-3,11,7,19,Winter
09-Jan-17,"2,017",1,9,-6,-3,-10,0,0,0,Winter
08-Jan-17,"2,017",1,8,-11,-9,-13,0,0,0,Winter
07-Jan-17,"2,017",1,7,-11,-8,-14,0,0,0,Winter
06-Jan-17,"2,017",1,6,-10,-7,-13,0,0,0,Winter
05-Jan-17,"2,017",1,5,-9,-7,-12,0,0,0,Winter
04-Jan-17,"2,017",1,4,-3,4,-9,0,0,0,Winter
03-Jan-17,"2,017",1,3,3,4,2,16,0,16,Winter
02-Jan-17,"2,017",1,2,0,5,-4,0,0,0,Winter
01-Jan-17,"2,017",1,1,0,2,-3,0,0,0,Winter
31-Jan-16,"2,016",1,31,6,11,1,3,0,3,Winter
30-Jan-16,"2,016",1,30,-1,6,-8,0,0,0,Winter
29-Jan-16,"2,016",1,29,-6,0,-11,0,0,0,Winter
28-Jan-16,"2,016",1,28,0,2,-2,0,1,1,Winter
27-Jan-16,"2,016",1,27,-1,1,-3,0,0,0,Winter
26-Jan-16,"2,016",1,26,4,7,0,0,0,0,Winter
25-Jan-16,"2,016",1,25,1,4,-1,0,0,0,Winter
24-Jan-16,"2,016",1,24,-6,-1,-11,0,0,0,Winter
23-Jan-16,"2,016",1,23,-8,-4,-11,0,0,0,Winter
22-Jan-16,"2,016",1,22,-7,-2,-12,0,0,0,Winter
21-Jan-16,"2,016",1,21,-7,-4,-10,0,1,0,Winter
20-Jan-16,"2,016",1,20,-6,-4,-8,0,0,0,Winter
19-Jan-16,"2,016",1,19,-9,-4,-15,0,0,0,Winter
18-Jan-16,"2,016",1,18,-10,-8,-12,0,2,2,Winter
17-Jan-16,"2,016",1,17,-5,0,-11,0,0,0,Winter
16-Jan-16,"2,016",1,16,-1,4,-4,1,0,1,Winter
15-Jan-16,"2,016",1,15,1,4,-3,2,0,2,Winter
14-Jan-16,"2,016",1,14,-5,-2,-9,0,0,0,Winter
13-Jan-16,"2,016",1,13,-9,-7,-11,0,0,0,Winter
12-Jan-16,"2,016",1,12,-6,-2,-10,0,5,4,Winter
11-Jan-16,"2,016",1,11,-8,-6,-11,0,0,0,Winter
10-Jan-16,"2,016",1,10,0,7,-7,18,0,18,Winter
09-Jan-16,"2,016",1,9,6,9,3,2,0,2,Winter
08-Jan-16,"2,016",1,8,-1,4,-6,3,0,3,Winter
07-Jan-16,"2,016",1,7,-1,4,-5,0,0,0,Winter
06-Jan-16,"2,016",1,6,-2,2,-7,0,0,0,Winter
05-Jan-16,"2,016",1,5,-9,-3,-15,0,0,0,Winter
04-Jan-16,"2,016",1,4,-13,-11,-15,0,0,0,Winter
03-Jan-16,"2,016",1,3,-5,2,-12,0,0,0,Winter
02-Jan-16,"2,016",1,2,-2,0,-4,0,0,0,Winter
01-Jan-16,"2,016",1,1,-2,0,-4,0,1,1,Winter
31-Jan-15,"2,015",1,31,-10,-3,-18,0,0,0,Winter
30-Jan-15,"2,015",1,30,-9,-2,-17,0,0,0,Winter
29-Jan-15,"2,015",1,29,-4,0,-7,0,5,6,Winter
28-Jan-15,"2,015",1,28,-7,-1,-13,0,0,0,Winter
27-Jan-15,"2,015",1,27,-9,-6,-13,0,1,0,Winter
26-Jan-15,"2,015",1,26,-11,-8,-14,0,0,0,Winter
25-Jan-15,"2,015",1,25,-8,-3,-13,0,0,0,Winter
24-Jan-15,"2,015",1,24,-3,1,-6,0,0,0,Winter
23-Jan-15,"2,015",1,23,-2,1,-6,,,,Winter
22-Jan-15,"2,015",1,22,-4,1,-9,0,0,0,Winter
21-Jan-15,"2,015",1,21,-8,-3,-14,0,0,0,Winter
20-Jan-15,"2,015",1,20,-10,-6,-13,0,0,0,Winter
19-Jan-15,"2,015",1,19,-5,0,-9,0,0,0,Winter
18-Jan-15,"2,015",1,18,3,6,0,0,0,0,Winter
17-Jan-15,"2,015",1,17,-6,4,-15,0,1,0,Winter
16-Jan-15,"2,015",1,16,-9,-2,-16,0,0,0,Winter
15-Jan-15,"2,015",1,15,-8,-3,-14,0,0,0,Winter
14-Jan-15,"2,015",1,14,-10,-4,-16,0,0,0,Winter
13-Jan-15,"2,015",1,13,-16,-12,-21,0,0,0,Winter
12-Jan-15,"2,015",1,12,-9,-1,-17,0,1,1,Winter
11-Jan-15,"2,015",1,11,-6,0,-11,,0,,Winter
10-Jan-15,"2,015",1,10,-13,-10,-16,0,0,0,Winter
09-Jan-15,"2,015",1,9,-10,-6,-14,0,2,2,Winter
08-Jan-15,"2,015",1,8,-13,-9,-17,0,1,1,Winter
07-Jan-15,"2,015",1,7,-14,-9,-18,0,0,0,Winter
06-Jan-15,"2,015",1,6,-11,-8,-14,0,0,0,Winter
05-Jan-15,"2,015",1,5,-10,-6,-14,0,1,1,Winter
04-Jan-15,"2,015",1,4,-1,4,-6,6,0,7,Winter
03-Jan-15,"2,015",1,3,-2,2,-6,8,2,11,Winter
02-Jan-15,"2,015",1,2,-4,-1,-6,0,0,1,Winter
01-Jan-15,"2,015",1,1,-5,-2,-8,0,0,0,Winter
31-Jan-14,"2,014",1,31,-2,0,-4,0,0,0,Winter
30-Jan-14,"2,014",1,30,-8,-2,-13,0,0,0,Winter
29-Jan-14,"2,014",1,29,-14,-10,-19,0,0,0,Winter
28-Jan-14,"2,014",1,28,-16,-13,-20,0,0,0,Winter
27-Jan-14,"2,014",1,27,-11,-5,-17,0,2,2,Winter
26-Jan-14,"2,014",1,26,-12,-5,-18,0,1,1,Winter
25-Jan-14,"2,014",1,25,-10,-3,-17,0,4,4,Winter
24-Jan-14,"2,014",1,24,-14,-9,-20,0,1,1,Winter
23-Jan-14,"2,014",1,23,-17,-14,-20,0,0,0,Winter
22-Jan-14,"2,014",1,22,-18,-13,-24,0,0,0,Winter
21-Jan-14,"2,014",1,21,-19,-17,-21,0,0,0,Winter
20-Jan-14,"2,014",1,20,-10,-3,-17,0,1,1,Winter
19-Jan-14,"2,014",1,19,-6,-3,-9,0,1,1,Winter
18-Jan-14,"2,014",1,18,-6,-3,-9,0,1,1,Winter
17-Jan-14,"2,014",1,17,-1,1,-3,0,3,2,Winter
16-Jan-14,"2,014",1,16,-3,-1,-5,0,2,2,Winter
15-Jan-14,"2,014",1,15,-3,1,-6,0,0,0,Winter
14-Jan-14,"2,014",1,14,2,4,-1,0,0,0,Winter
13-Jan-14,"2,014",1,13,4,8,1,1,0,1,Winter
12-Jan-14,"2,014",1,12,1,2,0,0,0,0,Winter
11-Jan-14,"2,014",1,11,4,7,2,8,0,8,Winter
10-Jan-14,"2,014",1,10,-3,3,-8,1,2,3,Winter
09-Jan-14,"2,014",1,9,-11,-6,-16,0,0,0,Winter
08-Jan-14,"2,014",1,8,-13,-9,-18,0,0,0,Winter
07-Jan-14,"2,014",1,7,-21,-17,-24,0,0,0,Winter
06-Jan-14,"2,014",1,6,-9,0,-18,4,1,5,Winter
05-Jan-14,"2,014",1,5,-1,0,-3,2,12,14,Winter
04-Jan-14,"2,014",1,4,-5,0,-9,0,0,0,Winter
03-Jan-14,"2,014",1,3,-17,-9,-24,0,0,0,Winter
02-Jan-14,"2,014",1,2,-18,-15,-20,0,1,1,Winter
01-Jan-14,"2,014",1,1,-13,-10,-15,0,0,0,Winter
01-Jan-13,2013,1,1,-2.1,1.8,-6.1,54.2,14.4,66.4,Winter
01-Jan-12,2012,1,1,-1.7,1.9,-5.3,37.6,16.2,54.2,Winter
01-Jan-11,2011,1,1,-7,-3.2,-10.8,11.4,43.8,42,Winter
01-Jan-10,2010,1,1,-5.2,-1.9,-8.5,17,10.8,24.4,Winter
01-Jan-09,2009,1,1,-8.8,-4.5,-13,1,46,44.4,Winter
01-Jan-08,2008,1,1,-2.1,1.3,-5.5,35.6,22.8,58.2,Winter
01-Jan-07,2007,1,1,-2.9,0.6,-6.3,23.4,15.8,38.6,Winter
01-Jan-06,2006,1,1,0.2,3.8,-3.4,66.6,7.8,74.6,Winter
01-Jan-05,2005,1,1,-6.8,-2.8,-10.9,37.8,33.2,70.4,Winter
01-Jan-04,2004,1,1,-9.4,-5.2,-13.5,4.8,63.2,49.6,Winter
01-Jan-03,2003,1,1,-8.3,-4.2,-12.3,0,41.4,35.4,Winter
01-Jan-02,2002,1,1,-0.5,2.7,-3.7,14.6,31.4,46.2,Winter
01-Jan-01,2001,1,1,-4.1,-0.6,-7.5,21,10.8,31.2,Winter
01-Jan-00,2000,1,1,-5.8,-1.1,-10.5,16.4,17,29.2,Winter
01-Jan-99,1999,1,1,-6.2,-2.3,-10.1,33,79.6,107,Winter
01-Jan-98,1998,1,1,-2.2,1,-5.3,72.8,24,97.2,Winter
01-Jan-97,1997,1,1,-6.4,-1.8,-10.9,18.2,48.8,64.6,Winter
01-Jan-96,1996,1,1,-6.7,-2.1,-11.2,51.2,25,72.6,Winter
01-Jan-95,1995,1,1,-3.1,0.1,-6.2,110,24.6,133.3,Winter
01-Jan-94,1994,1,1,-12.4,-7.3,-17.4,30.6,37.8,61,Winter
01-Jan-93,1993,1,1,-4,-0.1,-7.8,43.1,27.2,70.6,Winter
01-Jan-92,1992,1,1,-4.2,-0.8,-7.6,13.6,26.6,37.2,Winter
01-Jan-91,1991,1,1,-5.7,-1.7,-9.7,11.3,24.6,33.6,Winter
01-Jan-90,1990,1,1,-0.8,2.8,-4.3,23.1,12.8,36.7,Winter
01-Jan-89,1989,1,1,-2.2,1.9,-6.2,18.8,11.2,25.9,Winter
01-Jan-88,1988,1,1,-4.5,-0.1,-8.9,16.9,4.8,21.5,Winter
01-Jan-87,1987,1,1,-4.6,-1,-8.2,0.6,58.4,56.6,Winter
01-Jan-86,1986,1,1,-5.6,-1.6,-9.5,14.9,18.8,26.5,Winter
01-Jan-85,1985,1,1,-8.4,-4.4,-12.4,11.4,56,76.6,Winter
01-Jan-84,1984,1,1,-9.7,-5,-14.3,3.6,33.4,30.2,Winter
01-Jan-83,1983,1,1,-4.1,-0.3,-7.9,21.5,13,33.7,Winter
01-Jan-82,1982,1,1,-10.1,-5.1,-15,20.4,44,54.3,Winter
01-Jan-81,1981,1,1,-10.2,-5.6,-14.8,0,14.8,11.9,Winter
01-Jan-80,1980,1,1,-5.1,-1.3,-8.8,30.6,10.9,37.8,Winter
01-Jan-79,1979,1,1,-7.7,-4.1,-11.3,32.4,41.1,69.6,Winter
01-Jan-78,1978,1,1,-8.6,-4.8,-12.4,30.4,50.8,69.2,Winter
01-Jan-77,1977,1,1,-11.7,-7.5,-15.9,0,49.3,36.9,Winter
01-Jan-76,1976,1,1,-10.1,-4.2,-16,11.9,47.8,52.3,Winter
01-Jan-75,1975,1,1,-3.4,1,-7.7,40.9,16,51.6,Winter
01-Jan-74,1974,1,1,-5.9,-1.6,-10.2,34.3,35.6,66.8,Winter
01-Jan-73,1973,1,1,-4.3,-0.2,-8.3,19.6,14,34.3,Winter
01-Jan-72,1972,1,1,-6,-1.3,-10.6,10.9,32.8,37.8,Winter
01-Jan-71,1971,1,1,-9.2,-4.5,-13.8,4.8,30.7,29.2,Winter
01-Jan-70,1970,1,1,-10.9,-5.9,-15.8,1.3,37.6,25.7,Winter
01-Jan-69,1969,1,1,-6.5,-2.2,-10.8,37.1,17,50.3,Winter
01-Jan-68,1968,1,1,-8.8,-4.5,-13.1,41.4,50,82,Winter
01-Jan-67,1967,1,1,-3.5,0.8,-7.7,12.2,55.1,55.4,Winter
01-Jan-66,1966,1,1,-8.2,-3.4,-12.9,2.5,68.8,60.7,Winter
01-Jan-65,1965,1,1,-6.9,-2.3,-11.4,35.6,44.2,70.1,Winter
01-Jan-64,1964,1,1,-4,0.4,-8.4,44.2,18.3,58.7,Winter
01-Jan-63,1963,1,1,-8.6,-4.9,-12.2,1.3,26.4,25.9,Winter
01-Jan-62,1962,1,1,-7.3,-2.4,-12.1,32,37.1,67.6,Winter
01-Jan-61,1961,1,1,-8.1,-3.9,-12.3,0,15.2,10.9,Winter
01-Jan-60,1960,1,1,-5.1,-1.9,-8.3,33.5,34.5,68.1,Winter
01-Jan-59,1959,1,1,-7.2,-3.1,-11.2,39.9,25.7,65.5,Winter
01-Jan-58,1958,1,1,-5.1,-1.6,-8.6,0,25.1,25.1,Winter
01-Jan-57,1957,1,1,-8.5,-4.2,-12.8,19.3,36.6,55.9,Winter
01-Jan-56,1956,1,1,-5.7,-2.2,-9.2,5.6,37.3,42.9,Winter
01-Jan-55,1955,1,1,-5.8,-2.6,-9,15,22.1,37.1,Winter
01-Jan-54,1954,1,1,-8,-3.7,-12.3,17,35.3,52.3,Winter
01-Jan-53,1953,1,1,-2.9,0.9,-6.6,26.4,16.8,43.2,Winter
01-Jan-52,1952,1,1,-4.7,-0.3,-9.1,23.6,43.7,67.3,Winter
01-Jan-51,1951,1,1,-4.3,-0.4,-8.1,35.6,24.9,60.5,Winter
01-Jan-50,1950,1,1,-1.8,2.7,-6.2,59.9,36.6,96.5,Winter
01-Jan-49,1949,1,1,-2.9,0.4,-6.2,39.4,30,69.3,Winter
01-Jan-48,1948,1,1,-9.7,-4.7,-14.7,2.5,37.6,40.1,Winter
01-Jan-47,1947,1,1,-4.6,-0.1,-9,45.7,52.6,98.3,Winter
01-Jan-46,1946,1,1,-5.3,-0.9,-9.7,61.5,36.1,97.5,Winter
01-Jan-45,1945,1,1,-11.9,-7.2,-16.6,0.3,39.9,40.1,Winter
01-Jan-44,1944,1,1,-2.7,1.4,-6.8,10.4,9.7,20.1,Winter
01-Jan-43,1943,1,1,-9.1,-4.9,-13.3,2.5,68.3,70.9,Winter
01-Jan-42,1942,1,1,-5.5,-1.4,-9.6,21.8,15.2,37.1,Winter
01-Jan-41,1941,1,1,-6.9,-3.1,-10.6,21.1,50,71.1,Winter
01-Jan-40,1940,1,1,-9.4,-5.2,-13.6,26.7,21.6,48.3,Winter
01-Jan-39,1939,1,1,-6.7,-1.3,-12,2.5,45.7,48.3,Winter
01-Jan-38,1938,1,1,-7.2,-2.6,-11.7,13.5,26.9,40.4,Winter
28-Feb-18,"2,018",2,28,9,16,2,0,0,0,Winter
27-Feb-18,"2,018",2,27,6,14,-1,0,0,0,Winter
26-Feb-18,"2,018",2,26,3,8,-1,0,0,0,Winter
25-Feb-18,"2,018",2,25,7,12,1,5,0,5,Winter
24-Feb-18,"2,018",2,24,3,5,1,0,0,0,Winter
23-Feb-18,"2,018",2,23,3,6,-1,3,0,3,Winter
22-Feb-18,"2,018",2,22,-1,2,-3,0,0,0,Winter
21-Feb-18,"2,018",2,21,6,15,-2,8,0,8,Winter
20-Feb-18,"2,018",2,20,10,17,3,8,0,8,Winter
19-Feb-18,"2,018",2,19,1,4,-3,13,0,13,Winter
18-Feb-18,"2,018",2,18,0,4,-4,0,0,0,Winter
17-Feb-18,"2,018",2,17,-4,0,-8,0,0,0,Winter
16-Feb-18,"2,018",2,16,-2,3,-7,0,0,0,Winter
15-Feb-18,"2,018",2,15,5,8,3,0,0,0,Winter
14-Feb-18,"2,018",2,14,1,5,-4,0,0,0,Winter
13-Feb-18,"2,018",2,13,-8,-2,-14,0,0,0,Winter
12-Feb-18,"2,018",2,12,-8,-3,-12,0,0,0,Winter
11-Feb-18,"2,018",2,11,-4,-1,-7,0,1,3,Winter
10-Feb-18,"2,018",2,10,-6,-4,-7,0,6,6,Winter
09-Feb-18,"2,018",2,9,-8,-5,-11,0,7,6,Winter
08-Feb-18,"2,018",2,8,-10,-7,-13,0,0,0,Winter
07-Feb-18,"2,018",2,7,-9,-5,-13,0,7,7,Winter
06-Feb-18,"2,018",2,6,-8,-5,-11,0,0,0,Winter
05-Feb-18,"2,018",2,5,-11,-8,-14,0,0,0,Winter
04-Feb-18,"2,018",2,4,-4,2,-9,0,5,5,Winter
03-Feb-18,"2,018",2,3,-7,-2,-11,0,2,2,Winter
02-Feb-18,"2,018",2,2,-13,-10,-16,0,0,0,Winter
01-Feb-18,"2,018",2,1,-3,5,-10,0,0,0,Winter
28-Feb-17,"2,017",2,28,5,9,2,3,0,3,Winter
27-Feb-17,"2,017",2,27,5,9,1,0,0,0,Winter
26-Feb-17,"2,017",2,26,-1,3,-4,0,0,0,Winter
25-Feb-17,"2,017",2,25,3,8,-3,12,0,12,Winter
24-Feb-17,"2,017",2,24,4,5,3,7,0,7,Winter
23-Feb-17,"2,017",2,23,11,18,4,0,0,0,Winter
22-Feb-17,"2,017",2,22,6,8,3,0,0,0,Winter
21-Feb-17,"2,017",2,21,3,6,1,1,0,1,Winter
20-Feb-17,"2,017",2,20,2,5,-1,0,0,0,Winter
19-Feb-17,"2,017",2,19,7,12,2,0,0,0,Winter
18-Feb-17,"2,017",2,18,4,12,-4,0,0,0,Winter
17-Feb-17,"2,017",2,17,-3,0,-7,0,0,0,Winter
16-Feb-17,"2,017",2,16,-7,-3,-10,0,0,0,Winter
15-Feb-17,"2,017",2,15,-2,2,-6,0,0,0,Winter
14-Feb-17,"2,017",2,14,-2,4,-7,0,0,0,Winter
13-Feb-17,"2,017",2,13,-4,-1,-6,0,0,0,Winter
12-Feb-17,"2,017",2,12,-2,2,-5,0,16,14,Winter
11-Feb-17,"2,017",2,11,0,4,-4,0,0,0,Winter
10-Feb-17,"2,017",2,10,-5,-2,-8,0,4,4,Winter
09-Feb-17,"2,017",2,9,-8,-4,-12,0,0,0,Winter
08-Feb-17,"2,017",2,8,-2,4,-8,0,0,0,Winter
07-Feb-17,"2,017",2,7,1,4,-2,15,0,15,Winter
06-Feb-17,"2,017",2,6,-2,2,-6,0,0,0,Winter
05-Feb-17,"2,017",2,5,-2,0,-3,0,1,1,Winter
04-Feb-17,"2,017",2,4,-6,-2,-9,0,0,0,Winter
03-Feb-17,"2,017",2,3,-7,-5,-9,0,0,0,Winter
02-Feb-17,"2,017",2,2,-5,-3,-7,0,0,0,Winter
01-Feb-17,"2,017",2,1,-1,2,-5,0,0,0,Winter
29-Feb-16,"2,016",2,29,1,10,-8,0,0,0,Winter
28-Feb-16,"2,016",2,28,8,14,2,0,0,0,Winter
27-Feb-16,"2,016",2,27,-1,5,-6,0,0,0,Winter
26-Feb-16,"2,016",2,26,-7,-3,-11,0,0,0,Winter
25-Feb-16,"2,016",2,25,-3,1,-6,1,2,3,Winter
24-Feb-16,"2,016",2,24,1,2,-1,21,3,24,Winter
23-Feb-16,"2,016",2,23,-1,2,-4,0,0,0,Winter
22-Feb-16,"2,016",2,22,-2,1,-5,,0,,Winter
21-Feb-16,"2,016",2,21,2,6,-2,0,0,0,Winter
20-Feb-16,"2,016",2,20,8,13,3,0,0,0,Winter
19-Feb-16,"2,016",2,19,2,9,-5,,0,,Winter
18-Feb-16,"2,016",2,18,-10,-5,-15,0,0,0,Winter
17-Feb-16,"2,016",2,17,-6,-1,-11,0,1,1,Winter
16-Feb-16,"2,016",2,16,-1,0,-2,0,7,7,Winter
15-Feb-16,"2,016",2,15,-6,-1,-11,0,0,0,Winter
14-Feb-16,"2,016",2,14,-17,-11,-24,0,0,0,Winter
13-Feb-16,"2,016",2,13,-21,-16,-26,0,0,0,Winter
12-Feb-16,"2,016",2,12,-10,-4,-16,0,1,1,Winter
11-Feb-16,"2,016",2,11,-13,-10,-17,0,0,0,Winter
10-Feb-16,"2,016",2,10,-7,-1,-12,0,1,1,Winter
09-Feb-16,"2,016",2,9,-1,1,-3,0,2,1,Winter
08-Feb-16,"2,016",2,8,2,5,-2,0,1,1,Winter
07-Feb-16,"2,016",2,7,2,6,-3,0,0,0,Winter
06-Feb-16,"2,016",2,6,1,4,-2,0,0,0,Winter
05-Feb-16,"2,016",2,5,0,3,-3,0,0,0,Winter
04-Feb-16,"2,016",2,4,1,4,-2,0,0,0,Winter
03-Feb-16,"2,016",2,3,9,16,2,3,0,3,Winter
02-Feb-16,"2,016",2,2,0,3,-3,3,0,4,Winter
01-Feb-16,"2,016",2,1,4,9,-1,0,0,0,Winter
28-Feb-15,"2,015",2,28,-12,-5,-19,0,0,0,Winter
27-Feb-15,"2,015",2,27,-15,-10,-21,0,0,0,Winter
26-Feb-15,"2,015",2,26,-14,-10,-18,0,0,0,Winter
25-Feb-15,"2,015",2,25,-12,-9,-16,0,0,0,Winter
24-Feb-15,"2,015",2,24,-15,-9,-20,0,0,0,Winter
23-Feb-15,"2,015",2,23,-18,-15,-22,0,0,0,Winter
22-Feb-15,"2,015",2,22,-10,-3,-17,0,0,0,Winter
21-Feb-15,"2,015",2,21,-11,-8,-15,0,10,8,Winter
20-Feb-15,"2,015",2,20,-19,-14,-24,0,0,0,Winter
19-Feb-15,"2,015",2,19,-18,-15,-22,0,0,0,Winter
18-Feb-15,"2,015",2,18,-12,-9,-15,0,2,1,Winter
17-Feb-15,"2,015",2,17,-13,-9,-17,0,0,0,Winter
16-Feb-15,"2,015",2,16,-19,-13,-24,0,0,0,Winter
15-Feb-15,"2,015",2,15,-22,-19,-26,0,0,0,Winter
14-Feb-15,"2,015",2,14,-14,-7,-21,0,0,0,Winter
13-Feb-15,"2,015",2,13,-16,-10,-23,0,0,0,Winter
12-Feb-15,"2,015",2,12,-11,-3,-19,0,0,0,Winter
11-Feb-15,"2,015",2,11,-6,-2,-9,0,2,1,Winter
10-Feb-15,"2,015",2,10,-8,-5,-10,0,0,0,Winter
09-Feb-15,"2,015",2,9,-12,-10,-13,0,0,0,Winter
08-Feb-15,"2,015",2,8,-11,-8,-13,,3,,Winter
07-Feb-15,"2,015",2,7,-5,-2,-8,0,6,5,Winter
06-Feb-15,"2,015",2,6,-9,-5,-13,0,1,1,Winter
05-Feb-15,"2,015",2,5,-12,-9,-15,0,0,0,Winter
04-Feb-15,"2,015",2,4,-6,-1,-10,0,1,1,Winter
03-Feb-15,"2,015",2,3,-11,-6,-16,0,1,1,Winter
02-Feb-15,"2,015",2,2,-14,-11,-17,0,6,6,Winter
01-Feb-15,"2,015",2,1,-9,-3,-14,0,7,7,Winter
28-Feb-14,"2,014",2,28,-14,-8,-20,0,0,0,Winter
27-Feb-14,"2,014",2,27,-13,-9,-17,0,0,0,Winter
26-Feb-14,"2,014",2,26,-13,-10,-16,0,0,0,Winter
25-Feb-14,"2,014",2,25,-9,-7,-12,0,0,0,Winter
24-Feb-14,"2,014",2,24,-8,-6,-11,0,0,0,Winter
23-Feb-14,"2,014",2,23,-4,-1,-6,0,0,0,Winter
22-Feb-14,"2,014",2,22,0,2,-2,0,0,0,Winter
21-Feb-14,"2,014",2,21,2,4,-1,6,0,6,Winter
20-Feb-14,"2,014",2,20,0,2,-3,11,3,15,Winter
19-Feb-14,"2,014",2,19,0,6,-6,0,0,0,Winter
18-Feb-14,"2,014",2,18,-3,-1,-5,0,4,4,Winter
17-Feb-14,"2,014",2,17,-10,-3,-17,0,1,1,Winter
16-Feb-14,"2,014",2,16,-12,-8,-15,0,0,0,Winter
15-Feb-14,"2,014",2,15,-9,-4,-14,0,0,0,Winter
14-Feb-14,"2,014",2,14,-4,-1,-7,0,0,0,Winter
13-Feb-14,"2,014",2,13,-9,-3,-15,0,0,0,Winter
12-Feb-14,"2,014",2,12,-14,-7,-21,0,0,0,Winter
11-Feb-14,"2,014",2,11,-14,-10,-17,0,0,0,Winter
10-Feb-14,"2,014",2,10,-10,-7,-13,0,0,0,Winter
09-Feb-14,"2,014",2,9,-12,-8,-16,0,3,2,Winter
08-Feb-14,"2,014",2,8,-14,-10,-18,0,0,0,Winter
07-Feb-14,"2,014",2,7,-13,-10,-16,0,0,0,Winter
06-Feb-14,"2,014",2,6,-12,-8,-17,0,0,0,Winter
05-Feb-14,"2,014",2,5,-11,-6,-15,0,15,11,Winter
04-Feb-14,"2,014",2,4,-10,-5,-16,0,1,1,Winter
03-Feb-14,"2,014",2,3,-9,-4,-14,0,0,0,Winter
02-Feb-14,"2,014",2,2,-4,0,-8,0,0,0,Winter
01-Feb-14,"2,014",2,1,-2,1,-4,0,11,12,Winter
01-Feb-13,2013,2,1,-4.6,-1,-8.1,23.9,65.3,92,Winter
